Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto
PURARI,0.15171754,0.29337478,0.15171751,0.29337478,1
PYASINA,0.23700562,0.34981203,0.2370056,0.3498119,1
QIANTANG JIANG,0.14718506,0.2647896,0.14718506,0.2647896,3
QUOICH,0.1931369,0.26737273,0.19313687,0.2673726,2
RAJANG,0.16245472,0.28362185,0.16245472,0.2836218,2
RAPEL,0.1569041,0.30370367,0.15690398,0.30370364,1
RED,0.3124571,0.4259264,0.31245714,0.42592642,1
RHARSA,0.18958244,0.29384485,0.18958241,0.29384485,3
RHINE,0.29796118,0.46422046,0.29796115,0.46422035,3
RHONE,0.17091407,0.30375665,0.17091393,0.3037566,2
RIBEIRA DO IGUAPE,0.15225303,0.28708336,0.15225296,0.28708327,2
RIO DE LA PLATA,0.24470197,0.41528127,0.24470189,0.41528136,2
RIO GRANDE (also BRAVO),0.23183092,0.3833003,0.2318309,0.38330024,1
ROANOKE,0.16855058,0.2633351,0.16855055,0.26333508,1
ROGUE,0.17710209,0.27471033,0.17710207,0.2747103,4
ROPER,0.20479853,0.28807372,0.20479849,0.2880737,1
RUFIJI,0.20570928,0.46367168,0.20570925,0.46367157,2
RUKWA,0.15974753,0.43799132,0.1597475,0.4379913,2
RUPERT,0.16204153,0.29833534,0.1620415,0.2983353,2
RUVU,0.15692075,0.2939977,0.15692075,0.2939977,3
RUVUMA (also ROVUMA),0.18750285,0.4427514,0.18750279,0.44275135,1
SABINE,0.1660555,0.28545064,0.16605544,0.28545055,1
SACRAMENTO,0.16234893,0.6346786,0.16234888,0.63467824,4
SAGUENAY,0.17623356,0.28621715,0.17623356,0.28621697,1
SAINT CROIX,0.19204131,0.26491594,0.19204125,0.26491588,1
SAINT JOHN (also SAINT-JEAN),0.17496029,0.29671484,0.17496026,0.29671478,1
SAINT JOHN RIVER,0.1708487,0.27200517,0.17084867,0.2720051,4
SAINT JOHNS,0.1431333,0.26210478,0.1431333,0.26210475,3
SAINT LAWRENCE (also SAINT-LAURENT),0.21356837,0.3671822,0.21356831,0.3671821,2
SAINT PAUL RIVER,0.17728029,0.2719239,0.17728019,0.27192387,1
SAKARYA,0.18704973,0.43500996,0.18704975,0.43501,1
SALINAS,0.1459951,0.27041823,0.1459951,0.27041823,2
SALSA,0.16231634,0.2863809,0.16231632,0.2863809,3
SALWEEN,0.20158526,0.293985,0.20158526,0.2939849,1
