Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto,FRI_improve,DRI_improve
KOUILOU,0.17420726,0.26127684,0.1742072,0.26127684,1,0.999994604157554,0.9999961726566632
KOVDA,0.14353856,0.2738952,0.14353858,0.2738952,3,0.9999928939460462,0.9999963489818406
KRISHNA,0.29777196,0.6541759,0.29777184,0.6541758,3,0.9999970447271148,0.9999986242251331
KUANTAN,0.1573619,0.255792,0.15736192,0.25579196,1,0.9999935181680666,0.999996246964733
KUBAN,0.18982726,0.2779187,0.18982725,0.27791858,1,0.9999947847593812,0.9999968336164009
KUNENE (also CUNENE),0.19377214,0.32744196,0.1937721,0.32744193,1,0.9999950457519645,0.9999970376517215
KURA,0.1843734,0.27549148,0.18437338,0.27549148,2,0.9999946847278889,0.9999963701368546
KUSKOKWIM,0.15425825,0.2990377,0.15425822,0.2990377,2,0.9999937118831537,0.9999966559512198
KYMIJOKI,0.17940319,0.26205498,0.17940304,0.26205498,2,0.9999952620910877,0.9999961840214446
LA GRANDE,0.18608418,0.2748438,0.18608412,0.2748437,2,0.9999949485482772,0.9999967254234847
LAKE BALKHASH,0.18626615,0.35436016,0.18626614,0.3543601,1,0.9999946850528761,0.9999973473386328
LAKE EYRE,0.3414989,0.36287874,0.34149873,0.36287856,2,0.9999975695441986,0.9999977402970837
LAKE GAIRDNER,0.19409509,0.28786922,0.19409503,0.28786922,1,0.9999951570364422,0.9999965262124023
LAKE NATRON,0.15246174,0.26406962,0.15246174,0.26406962,1,0.9999934410204093,0.9999962131341988
LAKE TORRENS,0.17763542,0.25943178,0.17763539,0.25943175,5,0.9999945394071563,0.9999962610734382
LAKE TURKANA,0.24450707,0.402973,0.24450696,0.4029727,2,0.9999963600367039,0.9999982629139322
LAKE URMIA,0.16789423,0.24992073,0.16789424,0.24992074,1,0.999993984344047,0.9999959587349224
LAM (also XONGKA),0.17999785,0.2654463,0.17999774,0.2654464,1,0.9999950555209441,0.9999958560528377
LAUCA,0.14403437,0.24565384,0.14403434,0.24565384,2,0.9999932655416371,0.9999959292477201
LEICHHARDT,0.14627685,0.26315787,0.1462768,0.26315784,3,0.9999935055080128,0.9999963140132403
LEMPA,0.17210716,0.2745905,0.17210713,0.27459043,1,0.9999943640082546,0.9999966131499445
LENA,0.22497636,0.36803225,0.22497626,0.36803204,1,0.9999959995956924,0.9999978534535922
LIAO HE,0.18641244,0.34508866,0.18641238,0.34508872,1,0.9999949574435055,0.9999969283350428
LIMARI,0.15250398,0.2609182,0.15250398,0.2609182,2,0.9999934428370798,0.9999961673958836
LIMPOPO,0.20937535,0.3610167,0.20937534,0.36101654,3,0.9999952716720523,0.9999976732432447
LITTLE MECATINA,0.18487988,0.27637577,0.18487987,0.27637574,2,0.9999946452004471,0.9999964902979899
LITTLE SCARCIES (also KABA),0.18141606,0.25378668,0.18141606,0.25378668,2,0.9999944878392363,0.9999960596984062
LOA,0.1793127,0.31596136,0.1793127,0.31596127,4,0.999994423181274,0.9999971199092855
